x,y
3.7707396,45.09128
-0.86543894,-13.685425
-3.6475425,-66.936066
2.801556,24.265457
-1.2618151,-3.5150628
0.07978392,-14.976003
-2.6484637,-49.465073
-1.9327927,-18.887705
3.4015808,28.43024
-2.1372962,-36.94375
2.4830937,34.777164
-1.9162364,-1.8933887
1.6148658,-11.453533
-2.9761071,-35.350765
-0.2810154,-24.808289
-3.0148997,-46.963253
3.7981777,82.28594
3.0817456,61.441315
1.1566129,11.028221
2.5329585,28.03289
0.9623761,-2.854001
0.9024892,-15.96326
-2.6001248,-38.394062
2.2217555,35.86461
3.7711716,66.52684
3.0878382,8.302229
-3.7203312,-71.99838
-2.272194,-19.0088
0.5267172,15.133711
1.8011079,-17.259308
3.6397786,52.767845
-2.9942589,-38.65025
-0.9254875,-9.749779
0.9531789,2.4971259
0.5204029,16.806965
2.6629758,25.136509
-3.9931817,-111.165634
-3.4443693,-86.038445
-1.2439413,-20.009861
-2.0480075,-19.031345
-3.814042,-99.61986
0.29696417,25.492914
2.2321367,-9.337761
1.2977061,33.388634
-1.8305087,-45.942673
-3.7206264,-80.34227
-3.6210222,-99.79672
-2.3062773,-11.864498
-0.66461945,-11.856789
-3.7234888,-110.816475
1.5305147,11.9577
0.6823945,-6.442409
0.8852253,-8.087845
0.49095154,9.080642
-2.9827013,-49.80513
-1.3608022,-37.665974
3.266799,68.14769
-2.2323709,-5.5366592
1.8225093,-13.343547
-0.58465576,-5.6380663
-1.5916886,-23.219294
-1.1958747,-2.671939
3.5432615,45.194054
2.4347005,28.821617
-2.5030918,-3.6189709
-2.7657347,-60.24449
1.7405405,39.974003
1.6090307,2.9345274
2.1454883,-1.8768616
1.5251651,-5.826788
-0.15298653,-8.800856
-0.3795371,-14.900631
2.1213336,15.772084
2.0550976,28.912537
0.9666052,-18.309963
-0.53463554,1.4065869
-0.89297056,0.15850401
-3.986477,-119.22512
-2.6318936,-39.18043
-0.754447,-14.188874
2.0573215,10.366468
-2.7486057,-47.772747
-1.8870525,-25.53752
-3.2009373,-47.298378
-2.3491745,-70.154945
2.8250127,11.786959
0.040410995,1.3707488
1.9481726,36.641144
0.80806017,-0.6035421
0.5786905,-4.4583235
0.5137129,-10.741531
3.6536646,43.762527
0.23227358,18.50168
-2.536704,-20.510414
1.2583013,-0.2840309
0.14471292,-12.918321
3.1531,32.094208
2.4747577,15.009005
3.0669537,44.132763
-0.43032074,-11.505388
-3.238451,-63.453793
2.311298,22.275229
3.271099,69.818436
0.8364992,20.049965
-1.6092072,-24.292786
-1.909544,-24.19449
-0.14207172,4.323098
2.612246,19.899204
1.6090193,41.704056
-0.12219572,-5.6196847
-3.7087855,-88.97286
-1.9221239,-24.667625
-3.7648082,-93.127716
-1.608428,18.413593
-3.525443,-110.520134
3.0333405,54.19524
-0.9067664,-16.106396
3.9480982,70.52414
-0.023557186,3.4804304
-0.24958372,13.555308
0.16120052,0.68789405
3.3930044,48.11053
-3.599195,-75.6703
-1.6696644,-19.431671
2.8202019,65.375465
-1.5613632,-16.954044
2.7794442,41.40453
3.7356281,48.5811
-3.5236716,-72.53918
-1.350985,-10.530792
1.7479091,30.363472
-1.5293918,0.2748127
2.5688486,-3.5958214
1.2927895,-18.154076
-0.8657479,-16.599876
1.1542368,31.262112
-1.7097263,-11.29516
-1.2311506,-17.747425
-0.23545599,7.1711044
-2.81069,-53.545444
-3.6163712,-90.23832
-1.3213692,-8.735586
3.0570316,58.057686
-0.20081615,-20.180622
-2.9209762,-44.227737
-0.67314005,-30.30638
-2.057253,-44.957756
2.624909,37.62764
-3.7450504,-100.54269
2.0913196,21.553797
-2.794248,-30.69531
3.7628813,83.409004
1.7169929,7.1844354
1.988678,25.583883
-3.2523136,-85.98299
0.08453846,-18.307133
-3.457458,-80.12492
-3.4548965,-56.373573
1.7285447,31.879488
1.1640501,-6.555683
1.4126096,-1.4179039
-3.78364,-95.10102
3.1439538,46.772736
3.3023505,52.53904
1.9075198,27.251146
-1.7805586,-15.099838
1.5605712,-3.1683893
-2.2815838,-25.743656
-0.16499138,-4.7893367
0.8725033,10.24658
1.9019418,16.077587
-3.4326844,-83.06536
1.8971105,8.87701
-1.3989148,-37.35708
-2.6294794,-28.466282
1.944982,12.001946
0.1314373,26.593386
2.7181144,30.162544
-0.22392225,12.409523
0.8443675,-3.8345084
1.9605575,10.825583
-3.5616956,-72.56839
-3.7597866,-90.86261
2.9427414,41.66257
3.3386784,26.8098
3.880455,74.02464
1.473248,-1.035717
0.383677,-0.4977411
3.6811862,76.10425
2.3712664,10.896758
-2.3139892,-47.740734
1.2318044,-5.614095
1.3544297,-14.379528
0.6204276,16.645264
0.38958788,-12.144112
2.5577207,12.697804
3.1665745,34.00166
-2.78797,-23.499565
2.1623511,35.22899
-0.0038790703,-9.440865
